Sentence,WorkerID,PartOfExp,Trial,ListPosition,Filename,Transcription,Condition,TrainingTestSet,ListNum,PresentationBlock,TestTalkerNameShort,TestTalkerName,TestTalkerID,Answer.accent_familiarity_place,Answer.audio_stall,Answer.comments,Answer.condition,Answer.errors,Answer.guess_accent,Answer.language_background,Answer.language_background_free,Answer.list_num,Answer.rsrb.age,Answer.rsrb.ethnicity,Answer.rsrb.protocol,Answer.rsrb.race,Answer.rsrb.raceother,Answer.rsrb.sex,Answer.speaker,assignmentsubmittime,ItemRepetition,OrderOfSubmission,SentenceID,Keywords,NumKeywords,Keywords_perSet,PropKeywordsCorrect,NumKeywordsCorrect,Condition.long,Condition2,AccentFamFreq,AudioQual,AudioType2_WoreHeadphones,AudioType,CurrentTalkerIDShort,CurrentTalkerID,RejectWorker,ReasonRejected,TrainingTalkerID,ExpRep_subj,Exp3_subj,Exp2_subj,Exp1_subj,TalkerID.gen,Keyword,TranscriptionStripped,IsCorrect,Experiment,Cond.treat,Cond.treatTS.vs.CNTL,Cond.treatMT.vs.CNTL,Cond.treatST.vs.CNTL,Cond.diff,Cond.diffTS.vs.MT,Cond.diffMT.vs.ST,Cond.diffST.vs.CNTL,Intercept.ranef,Intercept.ranef.1ab,TrainingTalkerID1,fold,tr_0,tr_2,tr_4,tr_6,tr_8,tr_10,tr_12,tr_14,tr_16,tr_18,tr_20,tr_22,tr_24,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,very,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3,1.501476280856902,1.5087218831728737,1.4892502833499615,1.4714966938952647,1.462798523747295,1.4871779280297086,1.5389863115148203,1.4646865663481363,1.4582012374188227,1.484354080581598,1.5833693847701749,1.6771036265929753,1.65034428004611,1.4487919256972877,1.4813931585870512,4.187856809771372,1.5194995708456787,1.480715183632666
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,dirty,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3,1.501476280856902,1.5087218831728737,1.4892502833499615,1.4714966938952647,1.462798523747295,1.4871779280297086,1.5389863115148203,1.4646865663481363,1.4582012374188227,1.484354080581598,1.5833693847701749,1.6771036265929753,1.65034428004611,1.4487919256972877,1.4813931585870512,4.187856809771372,1.5194995708456787,1.480715183632666
The shoes were very dirty.,643313ae83f041d62efb0f54570821ac,test,4,3,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S004,his shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a,,37,ALL_037_M_CMN,6,in_movies_shows,no,"None, thanks.",5Acc_Diff1Acc,,France,monolingual,"American English, native, 47 years.",a,47.0,NonHisp,RSRB00045955,white;,,Male,6,2016-03-09T18:32:07Z,yes,274,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,month,professional,headphones,over-ear,37,CMN_M_037,False,,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",no,no,yes,no,Test talker 6,shoes,his shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.618050268517137,0.489670109585704,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",1,1.5239527259957137,1.5190428483219098,1.4863963235901374,1.4684716039656678,1.46400945035842,1.4833760545132815,1.5366180084366792,1.4599213412698258,1.452907054068735,1.4766352949046553,1.576210919425038,1.673621560348146,1.6516376234283414,1.4504546886856242,1.4718913724413165,4.165944641854116,1.5370598264153765,1.4811041620105447
The shoes were very dirty.,643313ae83f041d62efb0f54570821ac,test,4,3,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S004,his shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a,,37,ALL_037_M_CMN,6,in_movies_shows,no,"None, thanks.",5Acc_Diff1Acc,,France,monolingual,"American English, native, 47 years.",a,47.0,NonHisp,RSRB00045955,white;,,Male,6,2016-03-09T18:32:07Z,yes,274,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,month,professional,headphones,over-ear,37,CMN_M_037,False,,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",no,no,yes,no,Test talker 6,were,his shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.618050268517137,0.489670109585704,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",1,1.5239527259957137,1.5190428483219098,1.4863963235901374,1.4684716039656678,1.46400945035842,1.4833760545132815,1.5366180084366792,1.4599213412698258,1.452907054068735,1.4766352949046553,1.576210919425038,1.673621560348146,1.6516376234283414,1.4504546886856242,1.4718913724413165,4.165944641854116,1.5370598264153765,1.4811041620105447
The shoes were very dirty.,643313ae83f041d62efb0f54570821ac,test,4,3,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S004,his shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a,,37,ALL_037_M_CMN,6,in_movies_shows,no,"None, thanks.",5Acc_Diff1Acc,,France,monolingual,"American English, native, 47 years.",a,47.0,NonHisp,RSRB00045955,white;,,Male,6,2016-03-09T18:32:07Z,yes,274,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,month,professional,headphones,over-ear,37,CMN_M_037,False,,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",no,no,yes,no,Test talker 6,very,his shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.618050268517137,0.489670109585704,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",1,1.5239527259957137,1.5190428483219098,1.4863963235901374,1.4684716039656678,1.46400945035842,1.4833760545132815,1.5366180084366792,1.4599213412698258,1.452907054068735,1.4766352949046553,1.576210919425038,1.673621560348146,1.6516376234283414,1.4504546886856242,1.4718913724413165,4.165944641854116,1.5370598264153765,1.4811041620105447
The shoes were very dirty.,643313ae83f041d62efb0f54570821ac,test,4,3,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S004,his shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a,,37,ALL_037_M_CMN,6,in_movies_shows,no,"None, thanks.",5Acc_Diff1Acc,,France,monolingual,"American English, native, 47 years.",a,47.0,NonHisp,RSRB00045955,white;,,Male,6,2016-03-09T18:32:07Z,yes,274,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,month,professional,headphones,over-ear,37,CMN_M_037,False,,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",no,no,yes,no,Test talker 6,dirty,his shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.618050268517137,0.489670109585704,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",1,1.5239527259957137,1.5190428483219098,1.4863963235901374,1.4684716039656678,1.46400945035842,1.4833760545132815,1.5366180084366792,1.4599213412698258,1.452907054068735,1.4766352949046553,1.576210919425038,1.673621560348146,1.6516376234283414,1.4504546886856242,1.4718913724413165,4.165944641854116,1.5370598264153765,1.4811041620105447
The shoes were very dirty.,9ed81ed8f97a93609ba9cf98a39bd8bf,test,3,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,...were very dirty.,1Acc_Diff1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,yes,For some reason the beginning of each clip was almost impossible to hear each and every time. My apologies if my info is not useful for that reason. I can assure you that I did my very best.,1Acc_Diff1Acc,,east coast,other,"I have spoken American English for over 30 years, but also proficient in French, German and Dutch.",a,42.0,NonHisp,RSRB00045955,white;,,Male,"2,3",2015-11-11T13:43:32Z,yes,127,HT1_S004,"shoes, were, very, dirty",4,51,0.75,3,"Single talker
training",Single talker,month,good,headphones,over-ear,32,CMN_M_032,False,,CMN_M_016,no,no,yes,no,Test talker 3,shoes,were very dirty,0,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,-2.374229936498404,-2.36833603761101,CMN_M_016,1,1.4418779906117742,1.4910869087859202,1.4800131777287628,1.4771218162578161,1.4557271307644044,1.4839710481396617,1.550359650976178,1.481961073945427,1.4861072371430888,1.5008700978893361,1.6054106910384347,1.7085550173464388,1.6728184292511574,1.4554337396253056,1.5153034064390627,4.36655030385615,1.4189721730329738,1.5028199524314871
The shoes were very dirty.,9ed81ed8f97a93609ba9cf98a39bd8bf,test,3,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,...were very dirty.,1Acc_Diff1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,yes,For some reason the beginning of each clip was almost impossible to hear each and every time. My apologies if my info is not useful for that reason. I can assure you that I did my very best.,1Acc_Diff1Acc,,east coast,other,"I have spoken American English for over 30 years, but also proficient in French, German and Dutch.",a,42.0,NonHisp,RSRB00045955,white;,,Male,"2,3",2015-11-11T13:43:32Z,yes,127,HT1_S004,"shoes, were, very, dirty",4,51,0.75,3,"Single talker
training",Single talker,month,good,headphones,over-ear,32,CMN_M_032,False,,CMN_M_016,no,no,yes,no,Test talker 3,were,were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,-2.374229936498404,-2.36833603761101,CMN_M_016,1,1.4418779906117742,1.4910869087859202,1.4800131777287628,1.4771218162578161,1.4557271307644044,1.4839710481396617,1.550359650976178,1.481961073945427,1.4861072371430888,1.5008700978893361,1.6054106910384347,1.7085550173464388,1.6728184292511574,1.4554337396253056,1.5153034064390627,4.36655030385615,1.4189721730329738,1.5028199524314871
The shoes were very dirty.,9ed81ed8f97a93609ba9cf98a39bd8bf,test,3,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,...were very dirty.,1Acc_Diff1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,yes,For some reason the beginning of each clip was almost impossible to hear each and every time. My apologies if my info is not useful for that reason. I can assure you that I did my very best.,1Acc_Diff1Acc,,east coast,other,"I have spoken American English for over 30 years, but also proficient in French, German and Dutch.",a,42.0,NonHisp,RSRB00045955,white;,,Male,"2,3",2015-11-11T13:43:32Z,yes,127,HT1_S004,"shoes, were, very, dirty",4,51,0.75,3,"Single talker
training",Single talker,month,good,headphones,over-ear,32,CMN_M_032,False,,CMN_M_016,no,no,yes,no,Test talker 3,very,were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,-2.374229936498404,-2.36833603761101,CMN_M_016,1,1.4418779906117742,1.4910869087859202,1.4800131777287628,1.4771218162578161,1.4557271307644044,1.4839710481396617,1.550359650976178,1.481961073945427,1.4861072371430888,1.5008700978893361,1.6054106910384347,1.7085550173464388,1.6728184292511574,1.4554337396253056,1.5153034064390627,4.36655030385615,1.4189721730329738,1.5028199524314871
The shoes were very dirty.,9ed81ed8f97a93609ba9cf98a39bd8bf,test,3,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,...were very dirty.,1Acc_Diff1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,yes,For some reason the beginning of each clip was almost impossible to hear each and every time. My apologies if my info is not useful for that reason. I can assure you that I did my very best.,1Acc_Diff1Acc,,east coast,other,"I have spoken American English for over 30 years, but also proficient in French, German and Dutch.",a,42.0,NonHisp,RSRB00045955,white;,,Male,"2,3",2015-11-11T13:43:32Z,yes,127,HT1_S004,"shoes, were, very, dirty",4,51,0.75,3,"Single talker
training",Single talker,month,good,headphones,over-ear,32,CMN_M_032,False,,CMN_M_016,no,no,yes,no,Test talker 3,dirty,were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,-2.374229936498404,-2.36833603761101,CMN_M_016,1,1.4418779906117742,1.4910869087859202,1.4800131777287628,1.4771218162578161,1.4557271307644044,1.4839710481396617,1.550359650976178,1.481961073945427,1.4861072371430888,1.5008700978893361,1.6054106910384347,1.7085550173464388,1.6728184292511574,1.4554337396253056,1.5153034064390627,4.36655030385615,1.4189721730329738,1.5028199524314871
