Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,shoes,0.7478264275019864,1,0.7478264275019864,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2241,0.9579986,2.0,2.512
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,were,0.4772377122091644,1,0.4772377122091644,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2773,0.9579986,2.0,2.512
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,very,0.42843957979938097,1,0.42843957979938097,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2661,0.9579986,2.0,2.512
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,dirty,0.5749584273618071,1,0.5749584273618071,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",589,0.9579986,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.6897378611757572,1,0.6897378611757572,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2248,0.94525766,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.7364471051929451,1,0.7364471051929451,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2780,0.94525766,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.5643415476817047,1,0.5643415476817047,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2675,0.94525766,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.807759526111149,1,0.807759526111149,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",596,0.94525766,2.0,2.512
Single talker,CMN_M_021,3,HT1_S004,shoes,0.722882709606277,1,0.722882709606277,CMN_M_021,2253,0.95251703,2.0,2.512
Single talker,CMN_M_021,3,HT1_S004,were,0.7338222875939215,1,0.7338222875939215,CMN_M_021,2785,0.95251703,2.0,2.512
Single talker,CMN_M_021,3,HT1_S004,very,0.4755615904819041,1,0.4755615904819041,CMN_M_021,2685,0.95251703,2.0,2.512
Single talker,CMN_M_021,3,HT1_S004,dirty,0.8039384679615894,1,0.8039384679615894,CMN_M_021,601,0.95251703,2.0,2.512
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.3755365371962823,1,0.3755365371962823,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2247,0.9422178,2.0,2.512
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.751711134415473,1,0.751711134415473,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2779,0.9422178,2.0,2.512
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.6781322688643586,1,0.6781322688643586,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2673,0.9422178,2.0,2.512
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.8134283274020154,1,0.8134283274020154,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",595,0.9422178,2.0,2.512
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.5190197539418894,1,0.5190197539418894,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2246,0.94193923,2.0,2.512
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.33184515018452254,1,0.33184515018452254,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2778,0.94193923,2.0,2.512
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.3345160709467735,1,0.3345160709467735,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2671,0.94193923,2.0,2.512
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,dirty,0.6710332501685109,1,0.6710332501685109,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",594,0.94193923,2.0,2.512
Single talker,CMN_M_016,3,HT1_S004,shoes,0.8377852238639697,0,0.8377852238639697,CMN_M_016,2249,0.9552199,2.0,2.512
Single talker,CMN_M_016,3,HT1_S004,were,0.9079475517243207,1,0.9079475517243207,CMN_M_016,2781,0.9552199,2.0,2.512
Single talker,CMN_M_016,3,HT1_S004,very,0.612866738919547,1,0.612866738919547,CMN_M_016,2677,0.9552199,2.0,2.512
Single talker,CMN_M_016,3,HT1_S004,dirty,0.819494637424561,1,0.819494637424561,CMN_M_016,597,0.9552199,2.0,2.512
Single talker,CMN_M_021,5,HT1_S004,shoes,0.51467595468892,1,0.51467595468892,CMN_M_021,2255,0.95251703,2.0,2.512
Single talker,CMN_M_021,5,HT1_S004,were,0.8463054605721941,1,0.8463054605721941,CMN_M_021,2787,0.95251703,2.0,2.512
Single talker,CMN_M_021,5,HT1_S004,very,0.7716081947893099,1,0.7716081947893099,CMN_M_021,2689,0.95251703,2.0,2.512
Single talker,CMN_M_021,5,HT1_S004,dirty,0.7944062209097041,1,0.7944062209097041,CMN_M_021,603,0.95251703,2.0,2.512
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,shoes,0.7359221043612043,0,0.7359221043612043,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2242,0.9579986,2.0,2.512
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,were,0.3582301798606537,1,0.3582301798606537,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2774,0.9579986,2.0,2.512
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,very,0.5086924567557682,1,0.5086924567557682,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2663,0.9579986,2.0,2.512
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,dirty,0.6365808266930222,1,0.6365808266930222,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",590,0.9579986,2.0,2.512
Single talker,CMN_M_016,5,HT1_S004,shoes,0.3894864658339576,1,0.3894864658339576,CMN_M_016,2251,0.9552199,2.0,2.512
Single talker,CMN_M_016,5,HT1_S004,were,0.8999386002380467,1,0.8999386002380467,CMN_M_016,2783,0.9552199,2.0,2.512
Single talker,CMN_M_016,5,HT1_S004,very,0.820863160770879,1,0.820863160770879,CMN_M_016,2681,0.9552199,2.0,2.512
Single talker,CMN_M_016,5,HT1_S004,dirty,0.8120636681822868,1,0.8120636681822868,CMN_M_016,599,0.9552199,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,shoes,0.7284423349405064,1,0.7284423349405064,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2245,0.9454924,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,were,0.702300024094814,1,0.702300024094814,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2777,0.9454924,2.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,very,0.5804738734017281,1,0.5804738734017281,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2669,0.9454924,2.0,2.512
