Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,shoes,0.7144152740750693,1,0.7144152740750693,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2241,0.95005083,8.0,0.398
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,were,0.6922956691383828,1,0.6922956691383828,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2773,0.95005083,8.0,0.398
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,very,0.5925856353755948,1,0.5925856353755948,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2661,0.95005083,8.0,0.398
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,dirty,0.6896491250090125,1,0.6896491250090125,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",589,0.95005083,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.7652962151645454,1,0.7652962151645454,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2248,0.94555897,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.5779365362980324,1,0.5779365362980324,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2780,0.94555897,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.5639621687137059,1,0.5639621687137059,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2675,0.94555897,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.6533569150293532,1,0.6533569150293532,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",596,0.94555897,8.0,0.398
Single talker,CMN_M_021,3,HT1_S004,shoes,0.7937009166679081,1,0.7937009166679081,CMN_M_021,2253,1.0277283,8.0,0.398
Single talker,CMN_M_021,3,HT1_S004,were,0.49553551676235813,1,0.49553551676235813,CMN_M_021,2785,1.0277283,8.0,0.398
Single talker,CMN_M_021,3,HT1_S004,very,0.4828891039307887,1,0.4828891039307887,CMN_M_021,2685,1.0277283,8.0,0.398
Single talker,CMN_M_021,3,HT1_S004,dirty,0.5792200654112633,1,0.5792200654112633,CMN_M_021,601,1.0277283,8.0,0.398
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.7011821285332649,1,0.7011821285332649,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2247,0.9607805,8.0,0.398
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.6418318714779825,1,0.6418318714779825,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2779,0.9607805,8.0,0.398
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.6502704177264368,1,0.6502704177264368,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2673,0.9607805,8.0,0.398
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.612204602548035,1,0.612204602548035,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",595,0.9607805,8.0,0.398
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.7491977088315455,1,0.7491977088315455,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2246,0.9779411,8.0,0.398
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.6028298146793746,1,0.6028298146793746,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2778,0.9779411,8.0,0.398
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.5636392823608951,1,0.5636392823608951,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2671,0.9779411,8.0,0.398
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,dirty,0.5995529668805423,1,0.5995529668805423,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",594,0.9779411,8.0,0.398
Single talker,CMN_M_016,3,HT1_S004,shoes,0.8501138640769375,0,0.8501138640769375,CMN_M_016,2249,0.9234932,8.0,0.398
Single talker,CMN_M_016,3,HT1_S004,were,0.7441954324733742,1,0.7441954324733742,CMN_M_016,2781,0.9234932,8.0,0.398
Single talker,CMN_M_016,3,HT1_S004,very,0.6408996178423711,1,0.6408996178423711,CMN_M_016,2677,0.9234932,8.0,0.398
Single talker,CMN_M_016,3,HT1_S004,dirty,0.7790748193011829,1,0.7790748193011829,CMN_M_016,597,0.9234932,8.0,0.398
Single talker,CMN_M_021,5,HT1_S004,shoes,0.7490322015283238,1,0.7490322015283238,CMN_M_021,2255,1.0277283,8.0,0.398
Single talker,CMN_M_021,5,HT1_S004,were,0.754789548554634,1,0.754789548554634,CMN_M_021,2787,1.0277283,8.0,0.398
Single talker,CMN_M_021,5,HT1_S004,very,0.704503664952776,1,0.704503664952776,CMN_M_021,2689,1.0277283,8.0,0.398
Single talker,CMN_M_021,5,HT1_S004,dirty,0.645051274786892,1,0.645051274786892,CMN_M_021,603,1.0277283,8.0,0.398
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,shoes,0.613869768364354,0,0.613869768364354,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2242,0.95005083,8.0,0.398
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,were,0.504695582105336,1,0.504695582105336,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2774,0.95005083,8.0,0.398
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,very,0.4759094417489769,1,0.4759094417489769,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2663,0.95005083,8.0,0.398
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,dirty,0.6410996422972074,1,0.6410996422972074,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",590,0.95005083,8.0,0.398
Single talker,CMN_M_016,5,HT1_S004,shoes,0.6911655517059596,1,0.6911655517059596,CMN_M_016,2251,0.9234932,8.0,0.398
Single talker,CMN_M_016,5,HT1_S004,were,0.6129247422042594,1,0.6129247422042594,CMN_M_016,2783,0.9234932,8.0,0.398
Single talker,CMN_M_016,5,HT1_S004,very,0.686173812201105,1,0.686173812201105,CMN_M_016,2681,0.9234932,8.0,0.398
Single talker,CMN_M_016,5,HT1_S004,dirty,0.6542653628759001,1,0.6542653628759001,CMN_M_016,599,0.9234932,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,shoes,0.7001313529138015,1,0.7001313529138015,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2245,0.9422464,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,were,0.6099709647646522,1,0.6099709647646522,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2777,0.9422464,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,very,0.5882724352240898,1,0.5882724352240898,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2669,0.9422464,8.0,0.398
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,dirty,0.6213666338006526,1,0.6213666338006526,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",593,0.9422464,8.0,0.398
Control,"ENG_M_070, ENG_M_055, ENG_M_133, ENG_M_066, ENG_M_131",5,HT1_S004,shoes,0.6316788761154786,1,0.6316788761154786,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2243,0.95005083,8.0,0.398
Control,"ENG_M_070, ENG_M_055, ENG_M_133, ENG_M_066, ENG_M_131",5,HT1_S004,were,0.5273786207071759,1,0.5273786207071759,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2775,0.95005083,8.0,0.398
