Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.7859470982278771,1,0.7859470982278771,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",1924,0.94525766,1.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.8558062012140669,1,0.8558062012140669,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2380,0.94525766,1.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.6879923769375631,1,0.6879923769375631,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2287,0.94525766,1.0,2.512
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.8385989867126535,1,0.8385989867126535,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",508,0.94525766,1.0,2.512
Single talker,CMN_M_021,3,HT1_S004,shoes,0.642068739888172,1,0.642068739888172,CMN_M_021,1929,0.95251703,1.0,2.512
Single talker,CMN_M_021,3,HT1_S004,were,0.6372125479061446,1,0.6372125479061446,CMN_M_021,2385,0.95251703,1.0,2.512
Single talker,CMN_M_021,3,HT1_S004,very,0.29925357059036256,1,0.29925357059036256,CMN_M_021,2297,0.95251703,1.0,2.512
Single talker,CMN_M_021,3,HT1_S004,dirty,0.7148861349902169,1,0.7148861349902169,CMN_M_021,513,0.95251703,1.0,2.512
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.36877496470936805,1,0.36877496470936805,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",1923,0.9422178,1.0,2.512
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.849497391614637,1,0.849497391614637,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2379,0.9422178,1.0,2.512
