Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,shoes,0.5397861522121127,1,0.5397861522121127,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2561,0.95005083,8.0,1.047
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,were,0.46439674766270805,1,0.46439674766270805,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3169,0.95005083,8.0,1.047
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,very,0.2888775210751615,1,0.2888775210751615,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3041,0.95005083,8.0,1.047
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,dirty,0.46522825326544465,1,0.46522825326544465,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",673,0.95005083,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.6523470457126563,1,0.6523470457126563,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2568,0.94555897,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.4596772261261002,1,0.4596772261261002,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3176,0.94555897,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.3311675903879109,1,0.3311675903879109,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3055,0.94555897,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.5185401430576383,1,0.5185401430576383,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",680,0.94555897,8.0,1.047
Single talker,CMN_M_021,3,HT1_S004,shoes,0.5445428356672652,1,0.5445428356672652,CMN_M_021,2573,1.0277283,8.0,1.047
Single talker,CMN_M_021,3,HT1_S004,were,0.1577057373638057,1,0.1577057373638057,CMN_M_021,3181,1.0277283,8.0,1.047
Single talker,CMN_M_021,3,HT1_S004,very,0.14733710960213087,1,0.14733710960213087,CMN_M_021,3065,1.0277283,8.0,1.047
Single talker,CMN_M_021,3,HT1_S004,dirty,0.23775175822358052,1,0.23775175822358052,CMN_M_021,685,1.0277283,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2592,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,3200,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,3103,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,704,1.0027552,8.0,1.047
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.4675782496887709,1,0.4675782496887709,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2567,0.9607805,8.0,1.047
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.4770921235407062,1,0.4770921235407062,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3175,0.9607805,8.0,1.047
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.42860954371136817,1,0.42860954371136817,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3053,0.9607805,8.0,1.047
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.32757629901274177,1,0.32757629901274177,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",679,0.9607805,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2592,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,3200,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,3103,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,704,1.0027552,8.0,1.047
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.6615595071050908,1,0.6615595071050908,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2566,0.9779411,8.0,1.047
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.48847572621014707,1,0.48847572621014707,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",3174,0.9779411,8.0,1.047
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.3418877423895326,1,0.3418877423895326,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",3051,0.9779411,8.0,1.047
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,dirty,0.379841397950666,1,0.379841397950666,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",678,0.9779411,8.0,1.047
Single talker,CMN_M_016,3,HT1_S004,shoes,0.6523470457126563,0,0.6523470457126563,CMN_M_016,2569,0.9234932,8.0,1.047
Single talker,CMN_M_016,3,HT1_S004,were,0.4596772261261002,1,0.4596772261261002,CMN_M_016,3177,0.9234932,8.0,1.047
Single talker,CMN_M_016,3,HT1_S004,very,0.3102640917244031,1,0.3102640917244031,CMN_M_016,3057,0.9234932,8.0,1.047
Single talker,CMN_M_016,3,HT1_S004,dirty,0.5185401430576383,1,0.5185401430576383,CMN_M_016,681,0.9234932,8.0,1.047
Single talker,CMN_M_021,5,HT1_S004,shoes,0.4675782496887709,1,0.4675782496887709,CMN_M_021,2575,1.0277283,8.0,1.047
Single talker,CMN_M_021,5,HT1_S004,were,0.4770921235407062,1,0.4770921235407062,CMN_M_021,3183,1.0277283,8.0,1.047
Single talker,CMN_M_021,5,HT1_S004,very,0.3979546580255276,1,0.3979546580255276,CMN_M_021,3069,1.0277283,8.0,1.047
Single talker,CMN_M_021,5,HT1_S004,dirty,0.3155792646532924,1,0.3155792646532924,CMN_M_021,687,1.0277283,8.0,1.047
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,shoes,0.390183203230591,0,0.390183203230591,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2562,0.95005083,8.0,1.047
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,were,0.3537338570760085,1,0.3537338570760085,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3170,0.95005083,8.0,1.047
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,very,0.259543548728544,1,0.259543548728544,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3043,0.95005083,8.0,1.047
Control,"ENG_M_066, ENG_M_133, ENG_M_070, ENG_M_131, ENG_M_055",4,HT1_S004,dirty,0.40698983627258023,1,0.40698983627258023,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",674,0.95005083,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2592,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,3200,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,3103,1.0027552,8.0,1.047
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,704,1.0027552,8.0,1.047
Single talker,CMN_M_016,5,HT1_S004,shoes,0.3784391743785758,1,0.3784391743785758,CMN_M_016,2571,0.9234932,8.0,1.047
Single talker,CMN_M_016,5,HT1_S004,were,0.2758937948319051,1,0.2758937948319051,CMN_M_016,3179,0.9234932,8.0,1.047
Single talker,CMN_M_016,5,HT1_S004,very,0.3712914376120641,1,0.3712914376120641,CMN_M_016,3061,0.9234932,8.0,1.047
Single talker,CMN_M_016,5,HT1_S004,dirty,0.32757629901274177,1,0.32757629901274177,CMN_M_016,683,0.9234932,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,shoes,0.4642482677560856,1,0.4642482677560856,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2565,0.9422464,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,were,0.43399738819268824,1,0.43399738819268824,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",3173,0.9422464,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,very,0.5213838581867655,1,0.5213838581867655,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",3049,0.9422464,8.0,1.047
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,dirty,0.34657694281577656,1,0.34657694281577656,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",677,0.9422464,8.0,1.047
Control,"ENG_M_070, ENG_M_055, ENG_M_133, ENG_M_066, ENG_M_131",5,HT1_S004,shoes,0.4144605916616585,1,0.4144605916616585,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2563,0.95005083,8.0,1.047
Control,"ENG_M_070, ENG_M_055, ENG_M_133, ENG_M_066, ENG_M_131",5,HT1_S004,were,0.3297670706488909,1,0.3297670706488909,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3171,0.95005083,8.0,1.047
Control,"ENG_M_070, ENG_M_055, ENG_M_133, ENG_M_066, ENG_M_131",5,HT1_S004,very,0.45049847090951634,1,0.45049847090951634,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3045,0.95005083,8.0,1.047
Control,"ENG_M_070, ENG_M_055, ENG_M_133, ENG_M_066, ENG_M_131",5,HT1_S004,dirty,0.28951407213588665,1,0.28951407213588665,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",675,0.95005083,8.0,1.047
Talker-specific,CMN_M_037,6,HT1_S004,shoes,1.0,1,1.0,CMN_M_037,2591,0.79491776,8.0,1.047
Talker-specific,CMN_M_037,6,HT1_S004,were,1.0,1,1.0,CMN_M_037,3199,0.79491776,8.0,1.047
Talker-specific,CMN_M_037,6,HT1_S004,very,1.0,1,1.0,CMN_M_037,3101,0.79491776,8.0,1.047
Talker-specific,CMN_M_037,6,HT1_S004,dirty,1.0,1,1.0,CMN_M_037,703,0.79491776,8.0,1.047
Single talker,CMN_M_032,5,HT1_S004,shoes,0.34965442702655425,1,0.34965442702655425,CMN_M_032,2578,0.992998,8.0,1.047
Single talker,CMN_M_032,5,HT1_S004,were,0.1551440861667648,1,0.1551440861667648,CMN_M_032,3186,0.992998,8.0,1.047
Single talker,CMN_M_032,5,HT1_S004,very,0.24192435414943186,1,0.24192435414943186,CMN_M_032,3075,0.992998,8.0,1.047
Single talker,CMN_M_032,5,HT1_S004,dirty,0.2412169520260595,1,0.2412169520260595,CMN_M_032,690,0.992998,8.0,1.047
Single talker,CMN_M_021,4,HT1_S004,shoes,0.3760534617957539,1,0.3760534617957539,CMN_M_021,2574,1.0277283,8.0,1.047
Single talker,CMN_M_021,4,HT1_S004,were,0.43399738819268824,1,0.43399738819268824,CMN_M_021,3182,1.0277283,8.0,1.047
Single talker,CMN_M_021,4,HT1_S004,very,0.5213838581867655,1,0.5213838581867655,CMN_M_021,3067,1.0277283,8.0,1.047
Single talker,CMN_M_021,4,HT1_S004,dirty,0.340085346227789,1,0.340085346227789,CMN_M_021,686,1.0277283,8.0,1.047
Multi-talker,"CMN_M_043, CMN_M_016, CMN_M_035, CMN_M_021, CMN_M_037",3,HT1_S004,shoes,0.6523470457126563,1,0.6523470457126563,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2568,0.94555897,8.0,1.047
