Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.804184017746012,1,0.804184017746012,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",1924,0.94555897,4.0,0.316
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.6373208897087206,1,0.6373208897087206,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2380,0.94555897,4.0,0.316
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.6229135652835687,1,0.6229135652835687,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2287,0.94555897,4.0,0.316
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.7048919914453913,1,0.7048919914453913,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",508,0.94555897,4.0,0.316
Single talker,CMN_M_021,3,HT1_S004,shoes,0.8274247366474747,1,0.8274247366474747,CMN_M_021,1929,1.0277283,4.0,0.316
Single talker,CMN_M_021,3,HT1_S004,were,0.5636593264619275,1,0.5636593264619275,CMN_M_021,2385,1.0277283,4.0,0.316
Single talker,CMN_M_021,3,HT1_S004,very,0.5421288266153725,1,0.5421288266153725,CMN_M_021,2297,1.0277283,4.0,0.316
Single talker,CMN_M_021,3,HT1_S004,dirty,0.6381677755543483,1,0.6381677755543483,CMN_M_021,513,1.0277283,4.0,0.316
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.7481654003181764,1,0.7481654003181764,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",1923,0.9607805,4.0,0.316
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.6941453186225273,1,0.6941453186225273,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2379,0.9607805,4.0,0.316
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.7040410117952005,1,0.7040410117952005,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2285,0.9607805,4.0,0.316
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.666935689456744,1,0.666935689456744,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",507,0.9607805,4.0,0.316
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.7893379027656758,1,0.7893379027656758,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",1922,0.9779411,4.0,0.316
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.6609164648701896,1,0.6609164648701896,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2378,0.9779411,4.0,0.316
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.6278936966117774,1,0.6278936966117774,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2283,0.9779411,4.0,0.316
