Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.9918731535455303,1,0.9918731535455303,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2244,0.94555897,8.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.9852628564211356,1,0.9852628564211356,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2776,0.94555897,8.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.9791108408908626,1,0.9791108408908626,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2667,0.94555897,8.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.9875332268826176,1,0.9875332268826176,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",592,0.94555897,8.0,0.02
Single talker,CMN_M_021,3,HT1_S004,shoes,0.9884566607307043,1,0.9884566607307043,CMN_M_021,2249,1.0277283,8.0,0.02
Single talker,CMN_M_021,3,HT1_S004,were,0.9653329380963499,1,0.9653329380963499,CMN_M_021,2781,1.0277283,8.0,0.02
Single talker,CMN_M_021,3,HT1_S004,very,0.9640796926113963,1,0.9640796926113963,CMN_M_021,2677,1.0277283,8.0,0.02
Single talker,CMN_M_021,3,HT1_S004,dirty,0.9729322356505015,1,0.9729322356505015,CMN_M_021,597,1.0277283,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,1.0027552,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,1.0027552,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,1.0027552,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,1.0027552,8.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.9855836536248953,1,0.9855836536248953,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2243,0.9607805,8.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.9859629530058265,1,0.9859629530058265,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2775,0.9607805,8.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.9839466984364958,1,0.9839466984364958,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2665,0.9607805,8.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.9789069310023094,1,0.9789069310023094,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",591,0.9607805,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,1.0027552,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,1.0027552,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,1.0027552,8.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,1.0027552,8.0,0.02
