Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.8023911326533544,1,0.8023911326533544,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2244,0.94525766,8.0,1.585
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.8420861476402768,1,0.8420861476402768,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2776,0.94525766,8.0,1.585
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.747517632625051,1,0.747517632625051,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2667,0.94525766,8.0,1.585
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.8910261869077456,1,0.8910261869077456,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",592,0.94525766,8.0,1.585
Single talker,CMN_M_021,3,HT1_S004,shoes,0.8342946061725147,1,0.8342946061725147,CMN_M_021,2249,0.95251703,8.0,1.585
Single talker,CMN_M_021,3,HT1_S004,were,0.8454510387228424,1,0.8454510387228424,CMN_M_021,2781,0.95251703,8.0,1.585
Single talker,CMN_M_021,3,HT1_S004,very,0.698489713035732,1,0.698489713035732,CMN_M_021,2677,0.95251703,8.0,1.585
Single talker,CMN_M_021,3,HT1_S004,dirty,0.8908877845634363,1,0.8908877845634363,CMN_M_021,597,0.95251703,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,0.9281361,8.0,1.585
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.5730484438767048,1,0.5730484438767048,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2243,0.9422178,8.0,1.585
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.8538403657694428,1,0.8538403657694428,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2775,0.9422178,8.0,1.585
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.8190762180620718,1,0.8190762180620718,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2665,0.9422178,8.0,1.585
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.8957496976786643,1,0.8957496976786643,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",591,0.9422178,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,0.9281361,8.0,1.585
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.6794555113372326,1,0.6794555113372326,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2242,0.94193923,8.0,1.585
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.5722774712111223,1,0.5722774712111223,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2774,0.94193923,8.0,1.585
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.5765658837306946,1,0.5765658837306946,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2663,0.94193923,8.0,1.585
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,dirty,0.8073899882974505,1,0.8073899882974505,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",590,0.94193923,8.0,1.585
Single talker,CMN_M_016,3,HT1_S004,shoes,0.9082025205669666,0,0.9082025205669666,CMN_M_016,2245,0.9552199,8.0,1.585
Single talker,CMN_M_016,3,HT1_S004,were,0.9529499776066471,1,0.9529499776066471,CMN_M_016,2777,0.9552199,8.0,1.585
Single talker,CMN_M_016,3,HT1_S004,very,0.7878017066568805,1,0.7878017066568805,CMN_M_016,2669,0.9552199,8.0,1.585
Single talker,CMN_M_016,3,HT1_S004,dirty,0.8979009512012766,1,0.8979009512012766,CMN_M_016,593,0.9552199,8.0,1.585
Single talker,CMN_M_021,5,HT1_S004,shoes,0.7008368516984868,1,0.7008368516984868,CMN_M_021,2251,0.95251703,8.0,1.585
Single talker,CMN_M_021,5,HT1_S004,were,0.9096285170335717,1,0.9096285170335717,CMN_M_021,2783,0.95251703,8.0,1.585
Single talker,CMN_M_021,5,HT1_S004,very,0.8746119795519406,1,0.8746119795519406,CMN_M_021,2681,0.95251703,8.0,1.585
Single talker,CMN_M_021,5,HT1_S004,dirty,0.8850733699970355,1,0.8850733699970355,CMN_M_021,599,0.95251703,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,0.9281361,8.0,1.585
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,0.9281361,8.0,1.585
Single talker,CMN_M_016,5,HT1_S004,shoes,0.5745109306695032,1,0.5745109306695032,CMN_M_016,2247,0.9552199,8.0,1.585
Single talker,CMN_M_016,5,HT1_S004,were,0.9457227166153289,1,0.9457227166153289,CMN_M_016,2779,0.9552199,8.0,1.585
