Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.98614111665321,1,0.98614111665321,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2244,0.94555897,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.9714286003991515,1,0.9714286003991515,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2776,0.94555897,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.9700174097708476,1,0.9700174097708476,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2667,0.94555897,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.9778741727702306,1,0.9778741727702306,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",592,0.94555897,4.0,0.02
Single talker,CMN_M_021,3,HT1_S004,shoes,0.9880818982728738,1,0.9880818982728738,CMN_M_021,2249,1.0277283,4.0,0.02
Single talker,CMN_M_021,3,HT1_S004,were,0.9643652733861304,1,0.9643652733861304,CMN_M_021,2781,1.0277283,4.0,0.02
Single talker,CMN_M_021,3,HT1_S004,very,0.9619910783496298,1,0.9619910783496298,CMN_M_021,2677,1.0277283,4.0,0.02
Single talker,CMN_M_021,3,HT1_S004,dirty,0.9719727867385445,1,0.9719727867385445,CMN_M_021,597,1.0277283,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,1.0027552,4.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.9817401532918713,1,0.9817401532918713,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2243,0.9607805,4.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.9767622194981161,1,0.9767622194981161,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2775,0.9607805,4.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.977809752335397,1,0.977809752335397,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2665,0.9607805,4.0,0.02
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.9746052846510393,1,0.9746052846510393,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",591,0.9607805,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,1.0027552,4.0,0.02
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.9849183381161606,1,0.9849183381161606,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2242,0.9779411,4.0,0.02
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.9735956096379418,1,0.9735956096379418,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2774,0.9779411,4.0,0.02
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.9705147768946036,1,0.9705147768946036,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2663,0.9779411,4.0,0.02
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,dirty,0.9734236831400992,1,0.9734236831400992,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",590,0.9779411,4.0,0.02
Single talker,CMN_M_016,3,HT1_S004,shoes,0.9917279261394509,0,0.9917279261394509,CMN_M_016,2245,0.9234932,4.0,0.02
Single talker,CMN_M_016,3,HT1_S004,were,0.9842505456050994,1,0.9842505456050994,CMN_M_016,2777,0.9234932,4.0,0.02
Single talker,CMN_M_016,3,HT1_S004,very,0.9773896213008025,1,0.9773896213008025,CMN_M_016,2669,0.9234932,4.0,0.02
Single talker,CMN_M_016,3,HT1_S004,dirty,0.9869164317296574,1,0.9869164317296574,CMN_M_016,593,0.9234932,4.0,0.02
Single talker,CMN_M_021,5,HT1_S004,shoes,0.9853042734892826,1,0.9853042734892826,CMN_M_021,2251,1.0277283,4.0,0.02
Single talker,CMN_M_021,5,HT1_S004,were,0.9849631163943761,1,0.9849631163943761,CMN_M_021,2783,1.0277283,4.0,0.02
Single talker,CMN_M_021,5,HT1_S004,very,0.9820678633057967,1,0.9820678633057967,CMN_M_021,2681,1.0277283,4.0,0.02
Single talker,CMN_M_021,5,HT1_S004,dirty,0.9770202887367956,1,0.9770202887367956,CMN_M_021,599,1.0277283,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2268,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,2800,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,2715,1.0027552,4.0,0.02
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,616,1.0027552,4.0,0.02
Single talker,CMN_M_016,5,HT1_S004,shoes,0.9810606974175131,1,0.9810606974175131,CMN_M_016,2247,0.9234932,4.0,0.02
Single talker,CMN_M_016,5,HT1_S004,were,0.9751151561774737,1,0.9751151561774737,CMN_M_016,2779,0.9234932,4.0,0.02
Single talker,CMN_M_016,5,HT1_S004,very,0.9808366478927457,1,0.9808366478927457,CMN_M_016,2673,0.9234932,4.0,0.02
Single talker,CMN_M_016,5,HT1_S004,dirty,0.9784249743565394,1,0.9784249743565394,CMN_M_016,595,0.9234932,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,shoes,0.9818615176775023,1,0.9818615176775023,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2241,0.9422464,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,were,0.9742221164996752,1,0.9742221164996752,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2773,0.9422464,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,very,0.971646549260399,1,0.971646549260399,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",2661,0.9422464,4.0,0.02
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_016, CMN_M_035, CMN_M_032",4,HT1_S004,dirty,0.975413079984178,1,0.975413079984178,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_037",589,0.9422464,4.0,0.02
Talker-specific,CMN_M_037,6,HT1_S004,shoes,1.0,1,1.0,CMN_M_037,2267,0.79491776,4.0,0.02
Talker-specific,CMN_M_037,6,HT1_S004,were,1.0,1,1.0,CMN_M_037,2799,0.79491776,4.0,0.02
Talker-specific,CMN_M_037,6,HT1_S004,very,1.0,1,1.0,CMN_M_037,2713,0.79491776,4.0,0.02
Talker-specific,CMN_M_037,6,HT1_S004,dirty,1.0,1,1.0,CMN_M_037,615,0.79491776,4.0,0.02
Single talker,CMN_M_032,5,HT1_S004,shoes,0.97956796936242,1,0.97956796936242,CMN_M_032,2254,0.992998,4.0,0.02
