Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,IsCorrect,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_0_8_2.9_6249.4,ParticipantID,Trial,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_0_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_1_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_1_4_3.7_12189.7,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_1_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_1_4_4.3_12186.4,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_1_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_1_0.5_-0.7_12210.9,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_1_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_1_0.5_0.4_12210.2
Single talker,CMN_M_016,CMN_M_043,HT1_S010,fast,1,1.3522340059280396,e9a2c6b3f59f6990a2e100152386aac3,11,1.3522340059280396,1.3522340059280396,1.1667371,1.3522340059280396,1.3522340059280396,1.3522340059280396,1.1667371,0.9426842331886292,0.9426842331886292,0.9426842331886292,0.6913631,0.6913630962371826,0.6913630962371826,0.6913630962371826,0.6913631
Control,"ENG_M_133, ENG_M_055, ENG_M_070, ENG_M_066, ENG_M_131",CMN_M_043,HT1_S010,car,1,,da25e3cbebab3f75fb98985f47879100,5,,,0.950893,,,,0.9336659,,,,0.8220329,,,,0.77629936
Control,"ENG_M_133, ENG_M_055, ENG_M_070, ENG_M_066, ENG_M_131",CMN_M_043,HT1_S010,going,1,,da25e3cbebab3f75fb98985f47879100,5,,,1.0943538,,,,1.0736793,,,,0.86987543,,,,0.68096495
Control,"ENG_M_133, ENG_M_055, ENG_M_070, ENG_M_066, ENG_M_131",CMN_M_043,HT1_S010,too,1,,da25e3cbebab3f75fb98985f47879100,5,,,0.8715501,,,,0.7436229,,,,0.8416698,,,,0.7471795
Control,"ENG_M_133, ENG_M_055, ENG_M_070, ENG_M_066, ENG_M_131",CMN_M_043,HT1_S010,fast,1,,da25e3cbebab3f75fb98985f47879100,5,,,1.1855655,,,,1.1635288,,,,0.6531876,,,,0.6355564
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,car,1,,26241965a09d573337e7ab9787ac2e7d,14,,,0.9398122,,,,0.9398122,,,,0.9325404,,,,0.9325404
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,going,1,,26241965a09d573337e7ab9787ac2e7d,14,,,1.0604442,,,,1.0604442,,,,0.6410445,,,,0.6410445
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,too,1,,26241965a09d573337e7ab9787ac2e7d,14,,,0.82992464,,,,0.82992464,,,,0.50137687,,,,0.50137687
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,fast,1,,26241965a09d573337e7ab9787ac2e7d,14,,,1.1537743,,,,1.1537743,,,,0.5569854,,,,0.5569854
Single talker,CMN_M_043,CMN_M_037,HT1_S010,car,1,1.100300669670105,e287481755f8c6d2779d32907bf15327,11,1.100300669670105,1.100300669670105,0.9398122,1.100300669670105,1.100300669670105,1.100300669670105,0.9398122,1.3326917886734009,1.3326917886734009,1.3326917886734009,0.9325404,0.9325404167175293,0.9325404167175293,0.9325404167175293,0.9325404
