Sentence,WorkerID,PartOfExp,Trial,ListPosition,Filename,Transcription,Condition,TrainingTestSet,ListNum,PresentationBlock,TestTalkerNameShort,TestTalkerName,TestTalkerID,Answer.accent_familiarity_place,Answer.audio_stall,Answer.comments,Answer.condition,Answer.errors,Answer.guess_accent,Answer.language_background,Answer.language_background_free,Answer.list_num,Answer.rsrb.age,Answer.rsrb.ethnicity,Answer.rsrb.protocol,Answer.rsrb.race,Answer.rsrb.raceother,Answer.rsrb.sex,Answer.speaker,assignmentsubmittime,ItemRepetition,OrderOfSubmission,SentenceID,Keywords,NumKeywords,Keywords_perSet,PropKeywordsCorrect,NumKeywordsCorrect,Condition.long,Condition2,AccentFamFreq,AudioQual,AudioType2_WoreHeadphones,AudioType,CurrentTalkerIDShort,CurrentTalkerID,RejectWorker,ReasonRejected,TrainingTalkerID,ExpRep_subj,Exp3_subj,Exp2_subj,Exp1_subj,TalkerID.gen,Keyword,TranscriptionStripped,IsCorrect,Experiment,Cond.treat,Cond.treatTS.vs.CNTL,Cond.treatMT.vs.CNTL,Cond.treatST.vs.CNTL,Cond.diff,Cond.diffTS.vs.MT,Cond.diffMT.vs.ST,Cond.diffST.vs.CNTL,Intercept.ranef,Intercept.ranef.1ab,TrainingTalkerID1,fold,tr_0,tr_2,tr_4,tr_6,tr_8,tr_10,tr_12,tr_14,tr_16,tr_18,tr_20,tr_22,tr_24,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,very,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,3,2.4929635843131943,4.472554583181993,4.399051712906026,2.9770748753691283,0.9997521227783482,1.003400911867403,1.0563147253718532,1.004605089883204,0.9570387209703486,1.0136903410684723,1.0206380666108699,0.9668095890724023,0.8451537801183874,0.9250134888136604,0.8888207334837203,0.8042867526389748,1.0527831904103404,0.8426816669486727
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,dirty,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,3,2.4929635843131943,4.472554583181993,4.399051712906026,2.9770748753691283,0.9997521227783482,1.003400911867403,1.0563147253718532,1.004605089883204,0.9570387209703486,1.0136903410684723,1.0206380666108699,0.9668095890724023,0.8451537801183874,0.9250134888136604,0.8888207334837203,0.8042867526389748,1.0527831904103404,0.8426816669486727
The shoes were very dirty.,448fd7d0cd089e3f9195ebd3f9c39f5a,test,6,3,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S004,the shoes were very dirty.,1Acc_Same1Acc,"set2,set1",a_rev,,43,ALL_043_M_CMN,4,in_movies_shows,few,,1Acc_Same1Acc,,Turkey,monolingual,American English (Native),a_rev,28.0,NonHisp,RSRB00045955,black;,,Male,4,2015-11-09T22:37:13Z,yes,81,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Talker-specific
training",Talker-specific,month,excellent,headphones,in-ear,43,CMN_M_043,False,,CMN_M_043,no,no,yes,yes,Test talker 4,shoes,the shoes were very dirty,1,1a,Talker-specific,1,0,0,Talker-specific,0.75,0.5,0.25,0.6976963268180163,0.7015702416618461,CMN_M_043,1,2.495328944225728,4.448413425563685,4.3492124986394725,2.9890716529244363,0.9744643052759513,0.9956655611321494,1.0482623519661056,0.9990312388445273,0.955381809008318,1.0130962226382005,1.0283448226474012,0.9825138968174743,0.8636877705898772,0.9076808313192981,0.850147839164304,0.7945544579984823,0.9828550178237003,0.8054384086272737
The shoes were very dirty.,448fd7d0cd089e3f9195ebd3f9c39f5a,test,6,3,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S004,the shoes were very dirty.,1Acc_Same1Acc,"set2,set1",a_rev,,43,ALL_043_M_CMN,4,in_movies_shows,few,,1Acc_Same1Acc,,Turkey,monolingual,American English (Native),a_rev,28.0,NonHisp,RSRB00045955,black;,,Male,4,2015-11-09T22:37:13Z,yes,81,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Talker-specific
training",Talker-specific,month,excellent,headphones,in-ear,43,CMN_M_043,False,,CMN_M_043,no,no,yes,yes,Test talker 4,were,the shoes were very dirty,1,1a,Talker-specific,1,0,0,Talker-specific,0.75,0.5,0.25,0.6976963268180163,0.7015702416618461,CMN_M_043,1,2.495328944225728,4.448413425563685,4.3492124986394725,2.9890716529244363,0.9744643052759513,0.9956655611321494,1.0482623519661056,0.9990312388445273,0.955381809008318,1.0130962226382005,1.0283448226474012,0.9825138968174743,0.8636877705898772,0.9076808313192981,0.850147839164304,0.7945544579984823,0.9828550178237003,0.8054384086272737
The shoes were very dirty.,448fd7d0cd089e3f9195ebd3f9c39f5a,test,6,3,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S004,the shoes were very dirty.,1Acc_Same1Acc,"set2,set1",a_rev,,43,ALL_043_M_CMN,4,in_movies_shows,few,,1Acc_Same1Acc,,Turkey,monolingual,American English (Native),a_rev,28.0,NonHisp,RSRB00045955,black;,,Male,4,2015-11-09T22:37:13Z,yes,81,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Talker-specific
training",Talker-specific,month,excellent,headphones,in-ear,43,CMN_M_043,False,,CMN_M_043,no,no,yes,yes,Test talker 4,very,the shoes were very dirty,1,1a,Talker-specific,1,0,0,Talker-specific,0.75,0.5,0.25,0.6976963268180163,0.7015702416618461,CMN_M_043,1,2.495328944225728,4.448413425563685,4.3492124986394725,2.9890716529244363,0.9744643052759513,0.9956655611321494,1.0482623519661056,0.9990312388445273,0.955381809008318,1.0130962226382005,1.0283448226474012,0.9825138968174743,0.8636877705898772,0.9076808313192981,0.850147839164304,0.7945544579984823,0.9828550178237003,0.8054384086272737
The shoes were very dirty.,448fd7d0cd089e3f9195ebd3f9c39f5a,test,6,3,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S004,the shoes were very dirty.,1Acc_Same1Acc,"set2,set1",a_rev,,43,ALL_043_M_CMN,4,in_movies_shows,few,,1Acc_Same1Acc,,Turkey,monolingual,American English (Native),a_rev,28.0,NonHisp,RSRB00045955,black;,,Male,4,2015-11-09T22:37:13Z,yes,81,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Talker-specific
training",Talker-specific,month,excellent,headphones,in-ear,43,CMN_M_043,False,,CMN_M_043,no,no,yes,yes,Test talker 4,dirty,the shoes were very dirty,1,1a,Talker-specific,1,0,0,Talker-specific,0.75,0.5,0.25,0.6976963268180163,0.7015702416618461,CMN_M_043,1,2.495328944225728,4.448413425563685,4.3492124986394725,2.9890716529244363,0.9744643052759513,0.9956655611321494,1.0482623519661056,0.9990312388445273,0.955381809008318,1.0130962226382005,1.0283448226474012,0.9825138968174743,0.8636877705898772,0.9076808313192981,0.850147839164304,0.7945544579984823,0.9828550178237003,0.8054384086272737
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,shoes,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",1,2.4420212926621847,4.36333804827361,4.305289965181384,2.9537387585338686,0.9772419181720381,0.993409442385618,1.0377399961286249,1.0013377005118995,0.955708032534389,1.009535123966524,1.0180031851313167,0.9729378510301292,0.8528201792098598,0.9133284612833932,0.8914150686223927,0.8580442952138073,1.0143430998118774,0.9449626191984571
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,were,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",1,2.4420212926621847,4.36333804827361,4.305289965181384,2.9537387585338686,0.9772419181720381,0.993409442385618,1.0377399961286249,1.0013377005118995,0.955708032534389,1.009535123966524,1.0180031851313167,0.9729378510301292,0.8528201792098598,0.9133284612833932,0.8914150686223927,0.8580442952138073,1.0143430998118774,0.9449626191984571
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,very,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",1,2.4420212926621847,4.36333804827361,4.305289965181384,2.9537387585338686,0.9772419181720381,0.993409442385618,1.0377399961286249,1.0013377005118995,0.955708032534389,1.009535123966524,1.0180031851313167,0.9729378510301292,0.8528201792098598,0.9133284612833932,0.8914150686223927,0.8580442952138073,1.0143430998118774,0.9449626191984571
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,dirty,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",1,2.4420212926621847,4.36333804827361,4.305289965181384,2.9537387585338686,0.9772419181720381,0.993409442385618,1.0377399961286249,1.0013377005118995,0.955708032534389,1.009535123966524,1.0180031851313167,0.9729378510301292,0.8528201792098598,0.9133284612833932,0.8914150686223927,0.8580442952138073,1.0143430998118774,0.9449626191984571
