Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,xie21_HuBERT_T24_max_0_0_4.0_3.981_13.845_8311.014,IsCorrect,ParticipantID,Trial,TrainingTalkerID_sorted,UniqueExposureTestCombination,xie21_HuBERT_T24_max_1_0_8.0_3.162_13.199_8327.564,xie21_HuBERT_T24_max_0_1_4.0_3.388_15.878_10269.004,xie21_HuBERT_T24_max_1_1_4.0_1.905_14.967_10294.778,xie21_HuBERT_T24_mean_0_0_4.0_3.981_11.214_6162.445,xie21_HuBERT_T24_mean_1_0_4.0_3.16_9.603_6195.985,xie21_HuBERT_T24_mean_0_1_2.0_2.512_11.773_8124.613,xie21_HuBERT_T24_mean_1_1_8.0_1.585_10.277_8156.522,xie21_HuBERT_CNN7_max_0_0_0.5_0.196_6.307_8462.769,xie21_HuBERT_CNN7_max_1_0_0.5_0.016_5.409_8473.172,xie21_HuBERT_CNN7_max_0_1_0.5_0.2_10.215_10415.202,xie21_HuBERT_CNN7_max_1_1_0.5_0.1_9.858_10422.493,xie21_HuBERT_CNN7_mean_0_0_8.0_0.631_5.362_6259.394,xie21_HuBERT_CNN7_mean_1_0_0.5_0.016_3.176_6277.619,xie21_HuBERT_CNN7_mean_0_1_8.0_0.02_7.5_8206.049,xie21_HuBERT_CNN7_mean_1_1_0.5_0.01_6.405_8220.728
Control,"ENG_M_066, ENG_M_055, ENG_M_133, ENG_M_070, ENG_M_131",CMN_M_035,HT1_S023,train,,0,8e14befbeffb3248062e95aefa00982b,9,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2882,,,0.3674036524769427,,,,0.4213876899587897,,,,0.5997033214071809,,,,0.9435278899821684
Single talker,CMN_M_032,CMN_M_043,HT1_S023,children,0.031661696915001473,1,ead2fd1cdeae3b8457d168e1f96bcd13,13,CMN_M_032,563,0.07036349995781016,0.05295304497867141,0.1916333733497967,0.031661696915001473,0.06453100188594177,0.08672189016465108,0.2643720786875277,0.35641269156004635,0.9192311815863435,0.3499067529097277,0.5907512832948393,0.4875170694782866,0.9192311815863435,0.9774861499262049,0.948725267559766
Single talker,CMN_M_032,CMN_M_043,HT1_S023,waved,0.035302839626612244,0,ead2fd1cdeae3b8457d168e1f96bcd13,13,CMN_M_032,3155,0.07520769798241186,0.058093073703211644,0.20188011118329485,0.035302839626612244,0.07035488592298432,0.09525922953664293,0.27334403105430843,0.26094012765670227,0.8961293123456929,0.25475455474988556,0.5038679917803576,0.35322999666641314,0.8961293123456929,0.9675543259780639,0.9337522838677351
Single talker,CMN_M_032,CMN_M_043,HT1_S023,train,0.42366129466469915,0,ead2fd1cdeae3b8457d168e1f96bcd13,13,CMN_M_032,2899,0.5269971530123579,0.48147878486835904,0.6630097543485612,0.42366129466469915,0.5057530976860224,0.5211075574874507,0.7253576835965199,0.2858542895485131,0.9028251528655612,0.2795329527832168,0.5278649343099143,0.3494268973982703,0.9028251528655612,0.9672224085326844,0.9381067941454866
Control,"ENG_M_133, ENG_M_131, ENG_M_066, ENG_M_055, ENG_M_070",CMN_M_032,HT1_S023,children,,1,ecadc35faddf6c6ac0f76d300bc947ac,10,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",545,,,0.21303414602090243,,,,0.2556649073192032,,,,0.6003716968401438,,,,0.9309974089349241
Control,"ENG_M_133, ENG_M_131, ENG_M_066, ENG_M_055, ENG_M_070",CMN_M_032,HT1_S023,waved,,0,ecadc35faddf6c6ac0f76d300bc947ac,10,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3137,,,0.5266205151600787,,,,0.5079145363364113,,,,0.6319015183640527,,,,0.9423243891275275
Control,"ENG_M_133, ENG_M_131, ENG_M_066, ENG_M_055, ENG_M_070",CMN_M_032,HT1_S023,train,,1,ecadc35faddf6c6ac0f76d300bc947ac,10,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2881,,,0.9078779387380775,,,,0.8612754591228378,,,,0.7174470136934006,,,,0.9615679963595494
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_037",CMN_M_035,HT1_S023,children,0.3998264277098861,1,aa9fbb532cc2f470ee3ad86c43b7aed8,15,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",551,0.48732596736865796,0.45832731685872247,0.6448910660603725,0.23380709937351632,0.30800330452484187,0.35490213383738517,0.546767950727338,0.5454180046412094,0.9517185366952007,0.5395456690036975,0.7339699865354146,0.5016339671246529,0.9219884041791845,0.9781953232545261,0.9504722471244899
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_037",CMN_M_035,HT1_S023,waved,0.5801672230859737,0,aa9fbb532cc2f470ee3ad86c43b7aed8,15,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3143,0.6652944631109124,0.6291782869582768,0.7706457125958639,0.18400210857704938,0.23837724500083154,0.26695482432837364,0.455145674738629,0.45230117017257626,0.9372849635884511,0.4459381571129015,0.6671105547018618,0.4896082442365257,0.9085091952326498,0.9774449972125019,0.941750287992221
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_037",CMN_M_035,HT1_S023,train,0.26583291712732965,0,aa9fbb532cc2f470ee3ad86c43b7aed8,15,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2887,0.35962269622585463,0.32383040719806533,0.5304715113654263,0.1784631239066748,0.25167646926139087,0.291251472420222,0.5053346560343963,0.5991596768495424,0.9590477050709373,0.5937042036474617,0.7700187763184799,0.5051962332186977,0.9258175712791787,0.9779466701529133,0.9529026563309001
